"origin","quantity","value"
"nla2007_isotopes","RT_days",281.05
"nla2007_isotopes","RT_days",94.9
"nla2007_isotopes","RT_days",120.45
"nla2007_isotopes","RT_days",62.05
"nla2007_isotopes","RT_days",54.75
"nla2007_isotopes","RT_days",383.25
"nla2007_isotopes","RT_days",503.7
"nla2007_isotopes","RT_days",175.2
"nla2007_isotopes","RT_days",233.6
"nla2007_isotopes","RT_days",58.4
"nla2007_isotopes","RT_days",138.7
"nla2007_isotopes","RT_days",2124.3
"nla2007_isotopes","RT_days",2368.85
"nla2007_isotopes","RT_days",288.35
"nla2007_isotopes","RT_days",302.95
"nla2007_isotopes","RT_days",616.85
"nla2007_isotopes","RT_days",704.45
"nla2007_isotopes","RT_days",25.55
"nla2007_isotopes","RT_days",47.45
"nla2007_isotopes","RT_days",3.65
"nla2007_isotopes","RT_days",339.45
"nla2007_isotopes","RT_days",335.8
"nla2007_isotopes","RT_days",76.65
"nla2007_isotopes","RT_days",80.3
"nla2007_isotopes","RT_days",576.7
"nla2007_isotopes","RT_days",423.4
"nla2007_isotopes","RT_days",69.35
"nla2007_isotopes","RT_days",135.05
"nla2007_isotopes","RT_days",51.1
"nla2007_isotopes","RT_days",62.05
"nla2007_isotopes","RT_days",1051.2
"nla2007_isotopes","RT_days",1051.2
"nla2007_isotopes","RT_days",29.2
"nla2007_isotopes","RT_days",29.2
"nla2007_isotopes","RT_days",255.5
"nla2007_isotopes","RT_days",149.65
"nla2007_isotopes","RT_days",153.3
"nla2007_isotopes","RT_days",167.9
"nla2007_isotopes","RT_days",21.9
"nla2007_isotopes","RT_days",40.15
"nla2007_isotopes","RT_days",21.9
"nla2007_isotopes","RT_days",76.65
"nla2007_isotopes","RT_days",54.75
"nla2007_isotopes","RT_days",105.85
"nla2007_isotopes","RT_days",146
"nla2007_isotopes","RT_days",120.45
"nla2007_isotopes","RT_days",65.7
"nla2007_isotopes","RT_days",83.95
"nla2007_isotopes","RT_days",587.65
"nla2007_isotopes","RT_days",558.45
"nla2007_isotopes","RT_days",536.55
"nla2007_isotopes","RT_days",711.75
"nla2007_isotopes","RT_days",233.6
"nla2007_isotopes","RT_days",332.15
"nla2007_isotopes","RT_days",722.7
"nla2007_isotopes","RT_days",609.55
"nla2007_isotopes","RT_days",146
"nla2007_isotopes","RT_days",149.65
"nla2007_isotopes","RT_days",14.6
"nla2007_isotopes","RT_days",25.55
"nla2007_isotopes","RT_days",204.4
"nla2007_isotopes","RT_days",229.95
"nla2007_isotopes","RT_days",43.8
"nla2007_isotopes","RT_days",69.35
"nla2007_isotopes","RT_days",120.45
"nla2007_isotopes","RT_days",40.15
"nla2007_isotopes","RT_days",65.7
"nla2007_isotopes","RT_days",83.95
"nla2007_isotopes","RT_days",94.9
"nla2007_isotopes","RT_days",405.15
"nla2007_isotopes","RT_days",456.25
"nla2007_isotopes","RT_days",467.2
"nla2007_isotopes","RT_days",478.15
"nla2007_isotopes","RT_days",328.5
"nla2007_isotopes","RT_days",521.95
"nla2007_isotopes","RT_days",262.8
"nla2007_isotopes","RT_days",281.05
"nla2007_isotopes","RT_days",113.15
"nla2007_isotopes","RT_days",310.25
"nla2007_isotopes","RT_days",208.05
"nla2007_isotopes","RT_days",631.45
"nla2007_isotopes","RT_days",142.35
"nla2007_isotopes","RT_days",135.05
"nla2007_isotopes","RT_days",328.5
"nla2007_isotopes","RT_days",372.3
"nla2007_isotopes","RT_days",105.85
"nla2007_isotopes","RT_days",116.8
"nla2007_isotopes","RT_days",53636.75
"nla2007_isotopes","RT_days",53636.75
"nla2007_isotopes","RT_days",379.6
"nla2007_isotopes","RT_days",383.25
"nla2007_isotopes","RT_days",127.75
"nla2007_isotopes","RT_days",124.1
"nla2007_isotopes","RT_days",222.65
"nla2007_isotopes","RT_days",244.55
"nla2007_isotopes","RT_days",445.3
"nla2007_isotopes","RT_days",912.5
"nla2007_isotopes","RT_days",94.9
"nla2007_isotopes","RT_days",116.8
"nla2007_isotopes","RT_days",237.25
"nla2007_isotopes","RT_days",284.7
"nla2007_isotopes","RT_days",197.1
"nla2007_isotopes","RT_days",281.05
"nla2007_isotopes","RT_days",182.5
"nla2007_isotopes","RT_days",237.25
"nla2007_isotopes","RT_days",105.85
"nla2007_isotopes","RT_days",102.2
"nla2007_isotopes","RT_days",69.35
"nla2007_isotopes","RT_days",76.65
"nla2007_isotopes","RT_days",321.2
"nla2007_isotopes","RT_days",511
"nla2007_isotopes","RT_days",58.4
"nla2007_isotopes","RT_days",58.4
"nla2007_isotopes","RT_days",580.35
"nla2007_isotopes","RT_days",646.05
"nla2007_isotopes","RT_days",284.7
"nla2007_isotopes","RT_days",343.1
"nla2007_isotopes","RT_days",80.3
"nla2007_isotopes","RT_days",80.3
"nla2007_isotopes","RT_days",219
"nla2007_isotopes","RT_days",251.85
"nla2007_isotopes","RT_days",262.8
"nla2007_isotopes","RT_days",1248.3
"nla2007_isotopes","RT_days",116.8
"nla2007_isotopes","RT_days",62.05
"nla2007_isotopes","RT_days",54.75
"nla2007_isotopes","RT_days",1036.6
"nla2007_isotopes","RT_days",397.85
"nla2007_isotopes","RT_days",109.5
"nla2007_isotopes","RT_days",3.65
"nla2007_isotopes","RT_days",189.8
"nla2007_isotopes","RT_days",346.75
"nla2007_isotopes","RT_days",489.1
"nla2007_isotopes","RT_days",565.75
"nla2007_isotopes","RT_days",36.5
"nla2007_isotopes","RT_days",138.7
"nla2007_isotopes","RT_days",4679.3
"nla2007_isotopes","RT_days",5391.05
"nla2007_isotopes","RT_days",156.95
"nla2007_isotopes","RT_days",306.6
"nla2007_isotopes","RT_days",857.75
"nla2007_isotopes","RT_days",120.45
"nla2007_isotopes","RT_days",80.3
"nla2007_isotopes","RT_days",73
"nla2007_isotopes","RT_days",18.25
"nla2007_isotopes","RT_days",908.85
"nla2007_isotopes","RT_days",383.25
"nla2007_isotopes","RT_days",430.7
"nla2007_isotopes","RT_days",83.95
"nla2007_isotopes","RT_days",405.15
"nla2007_isotopes","RT_days",131.4
"nla2007_isotopes","RT_days",357.7
"nla2007_isotopes","RT_days",47.45
"nla2007_isotopes","RT_days",244.55
"nla2007_isotopes","RT_days",996.45
"nla2007_isotopes","RT_days",146
"nla2007_isotopes","RT_days",94.9
"nla2007_isotopes","RT_days",182.5
"nla2007_isotopes","RT_days",167.9
"nla2007_isotopes","RT_days",109.5
"nla2007_isotopes","RT_days",229.95
"nla2007_isotopes","RT_days",240.9
"nla2007_isotopes","RT_days",248.2
"nla2007_isotopes","RT_days",496.4
"nla2007_isotopes","RT_days",1963.7
"nla2007_isotopes","RT_days",2036.7
"nla2007_isotopes","RT_days",120.45
"nla2007_isotopes","RT_days",47.45
"nla2007_isotopes","RT_days",511
"nla2007_isotopes","RT_days",240.9
"nla2007_isotopes","RT_days",346.75
"nla2007_isotopes","RT_days",65.7
"nla2007_isotopes","RT_days",6785.35
"nla2007_isotopes","RT_days",394.2
"nla2007_isotopes","RT_days",109.5
"nla2007_isotopes","RT_days",102.2
"nla2007_isotopes","RT_days",65.7
