uniqueID,lake,stateCountry,surfaceArea_km2,meanDepth_vol_SA_m,inflowRate_Q_m3_s,hrt_years,Tpout_mg_m3,loadingConstant_kgP_yr,volume_10^6m3,loadingM2_mgTP_m2yr,TPout/TPin,Rp,TPin_mg_m3,K_1_year,depth_10_z,flushingRate_1_years,qs_m_years_flush,qs_m_years_SA
1,Blackhawk,Wisc,0.9,4.9,0.3,0.50,120,1980,4.4,2225,0.529,0.471,227,1.78,2.04,2.0,9.8,9.80
2,Calhoun,Minn,1.7,10.6,0.2,3.60,106,1462,18.0,860,0.363,0.637,292,0.49,0.94,0.3,2.9,2.94
3,Camelot-Sherwood,Wisc,2.8,3,2.3,0.12,30,7042,8.4,2515,0.311,0.689,96,19.25,3.33,8.7,26.1,26.09
4,Canadarago,NY,7.6,7.7,3.1,0.60,45,6004,58.5,790,0.731,0.269,62,0.61,1.30,1.7,12.8,12.83
5,Cayuga,NY,170.0,54,33.8,8.60,20,141100,9180.0,830,0.151,0.849,132,0.65,0.19,0.1,6.3,6.28
6,Cedar,Minn,0.7,6.1,0.0,3.30,55,242,4.2,350,0.290,0.710,189,0.74,1.64,0.3,1.8,1.85
7,Cox Hollow,Wisc,0.4,3.8,0.1,0.60,100,722,1.5,1850,0.342,0.658,292,3.20,2.63,1.7,6.3,6.33
8,Dogfish,Minn,0.3,4,0.0,3.50,10,5,1.2,17,0.672,0.328,15,0.14,2.50,0.3,1.1,1.14
9,Dutch Hollow,Wisc,0.9,3,0.0,1.80,400,833,2.6,980,0.680,0.320,588,0.26,3.33,0.6,1.7,1.67
10,George,NY,110.0,18,7.8,8.00,8.5,7880,1980.0,72,0.267,0.733,32,0.34,0.56,0.1,2.3,2.25
11,Harriet,Minn,1.4,8.8,0.2,2.40,62,994,12.3,710,0.320,0.680,194,0.88,1.14,0.4,3.7,3.67
12,Isles ,Minn,0.4,2.7,0.1,0.60,110,853,1.1,2030,0.244,0.756,451,5.17,3.70,1.7,4.5,4.50
13,Kerr (Roanoke),NC-Vir,120.0,10.3,196.0,0.20,30,624000,1236.0,5200,0.297,0.703,101,11.83,0.97,5.0,51.5,51.50
14,Kerr (Nutbush),NC-Vir,50.0,8.2,2.5,5.10,30,36000,410.0,720,0.067,0.933,448,2.73,1.22,0.2,1.6,1.61
15,Lamb,Minn,0.4,4,0.0,2.30,12,12,1.6,30,0.690,0.310,17,0.20,2.50,0.4,1.7,1.74
16,Meander,Minn,0.4,5,0.0,2.70,9,10,1.8,28,0.606,0.394,15,0.24,2.00,0.4,1.9,1.85
17,Mendota,Wisc,39.0,12,3.3,4.50,150,46800,468.0,1200,0.333,0.667,450,0.44,0.83,0.2,2.7,2.67
18,Minnetonka,Minn,26.2,8.3,1.1,6.30,60,2800,217.5,107,0.740,0.260,81,0.06,1.20,0.2,1.3,1.32
19,Redstone,Wisc,2.5,4.3,0.4,0.85,30,3900,10.8,1560,0.097,0.903,308,10.92,2.33,1.2,5.1,5.06
20,Sallie,Minn,5.3,6.4,0.7,1.45,350,15105,33.9,2850,0.542,0.458,646,0.58,1.56,0.7,4.4,4.41
21,Sammamish,Wash,20.0,18,6.3,1.80,30,13000,360.0,650,0.462,0.538,65,0.65,0.56,0.6,10.0,10.00
