UID,SITE_ID,VISIT_NO,INDEX_NLA,AGGR_ECO3_2015,AGGR_ECO9_2015,AREA_HA,COMID2012,ELEVATION,EPA_REG,LAKE_ORIGIN,STATE,WGT_ALL,REF_NLA12_NUTR,RT_NLA12,RT_NLA12_BENT,RT_NLA12_ZOOP,CHLX_RESULT,CHLX_UNITS,INDEX_SITE_DEPTH,INDEX_LAT_DD,INDEX_LON_DD,COLOR_RESULT,COLOR_UNITS,CHLORIDE_RESULT,CHLORIDE_UNITS,NTL_RESULT,NTL_UNITS,PTL_RESULT,PTL_UNITS,BENT_COND,MMI_BENT_NLA12,ZOOP_COND,MMI_ZOOP_NLA6,AMITOTAL,HORIZDD,LitCvrQc3OE,LitRipCvrQc3OE,RDis_IX,RVegQc3OE,VERTDD,MICX_RESULT,MICX_UNITS,ATRAZINE_RESULT,ATRAZINE_UNITS,TOTALHG_RESULT,TOTALHG_UNITS,METHYLMERCURY_RESULT,METHYLMERCURY_UNITS
6300,NLA12_AL-101,1,N,EHIGH,SAP,1301.87197,166759236,57.03,Region_4,MAN_MADE,AL,20.28888476,,T,T,T,18,ug/L,13.1,33.2691,-87.42056,9,APHA Pt-Co,9.87,mg/L,0.505,mg/L,30,ug/L,Poor,35.9,Fair,66.55,NA,NA,NA,NA,NA,NA,NA,0.09665,ppb,0,ppb,NA,NA,NA,NA
7374,NLA12_AL-101,2,Y,EHIGH,SAP,1301.87197,166759236,57.03,Region_4,MAN_MADE,AL,20.28888476,,T,T,T,17.52,ug/L,13.7,33.268766,-87.421347,20,APHA Pt-Co,15.72,mg/L,0.376,mg/L,25,ug/L,Poor,25,Fair,60.65,0.155,0,1.587263897,2.003502875,0.183333333,1.34102331,0,0.12507,ppb,0,ppb,111.7,ng/g,0.86,ng/g
7228,NLA12_AL-102,1,Y,EHIGH,SAP,72.95042027,18587568,247.04,Region_4,MAN_MADE,AL,46.61790206,,S,S,S,10,ug/L,17.3,34.22557,-86.83922,7,APHA Pt-Co,2.875,mg/L,0.389,mg/L,12,ug/L,Fair,45.9,Fair,68.73,0.225,0,0.897133161,0.86068324,0.627586207,0.789708776,0,0.13382,ppb,0,ppb,134.43,ng/g,0.82,ng/g
7292,NLA12_AL-103,1,Y,EHIGH,SAP,10363.25848,166759059,141.76,Region_4,MAN_MADE,AL,51.33189892,,S,S,S,32,ug/L,6.5,33.54535,-86.19018,19,APHA Pt-Co,7.226,mg/L,0.449,mg/L,56,ug/L,NA,NA,Poor,50.82,NA,NA,NA,NA,NA,NA,NA,0.10968,ppb,0.07,ppb,103.45,ng/g,0.43,ng/g
7368,NLA12_AL-104,1,Y,PLNLOW,CPL,4731.474336,21677972,22.28,Region_4,MAN_MADE,AL,101.4910459,,S,S,S,8.945454545,ug/L,19.8,32.53195,-87.85232,14,APHA Pt-Co,32.048,mg/L,0.344,mg/L,37,ug/L,Fair,41.6,Poor,33,0.03,0,0.404546521,0.498335061,0.714814815,0.604890983,0,0.07536,ppb,0.13,ppb,NA,NA,NA,NA
6267,NLA12_AL-105,1,N,PLNLOW,CPL,32.56146308,21639448,50.83,Region_4,MAN_MADE,AL,83.37696313,,S,S,S,144.8,ug/L,4.6,31.6207,-88.35047,21,APHA Pt-Co,3.09,mg/L,1.85,mg/L,106,ug/L,Poor,39.9,Fair,48.57,NA,NA,NA,NA,NA,NA,NA,0.25983,ppb,0,ppb,NA,NA,NA,NA
7394,NLA12_AL-105,2,Y,PLNLOW,CPL,32.56146308,21639448,50.83,Region_4,MAN_MADE,AL,83.37696313,,S,S,S,35.76,ug/L,5,31.6206,-88.34999,15,APHA Pt-Co,3.088,mg/L,1.078,mg/L,58,ug/L,Poor,25,Poor,45.22,0.05,0,0.309976736,0.419042408,0.511904762,0.51985186,0,0.19399,ppb,0,ppb,115.58,ng/g,0.57,ng/g
7375,NLA12_AL-112,1,Y,PLNLOW,CPL,5.55544262,18628452,78.07,Region_4,MAN_MADE,AL,546.5717263,R,R,R,R,9.386666667,ug/L,3.8,33.36433,-88.16674,21,APHA Pt-Co,1.949,mg/L,0.379,mg/L,33,ug/L,Good,68.8,Fair,54.92,0.1,0,0.468809148,0.672166933,0.42972973,0.887992033,0,0,ppb,0,ppb,93.09,ng/g,0.45,ng/g
7769,NLA12_AL-113,1,Y,PLNLOW,CPL,29.40501835,18522817,13.99,Region_4,MAN_MADE,AL,83.37696313,,S,S,S,1.27,ug/L,2.5,30.97354,-88.05455,30,APHA Pt-Co,3.191,mg/L,0.248,mg/L,27,ug/L,Good,76,Good,68.5,0.415,0,0.549774681,0.607318014,0.265384615,0.687448941,0,0.05739,ppb,0.07,ppb,61.32,ng/g,0.61,ng/g
7459,NLA12_AL-114,1,Y,EHIGH,SAP,18.10471487,22200659,171.04,Region_4,MAN_MADE,AL,150.3432224,,S,S,S,17.5,ug/L,3.5,33.88175,-85.93198,10,APHA Pt-Co,2.08,mg/L,0.51,mg/L,62,ug/L,Fair,41.1,Poor,58.05,0.2575,0,0.541583149,0.429130832,0.632608696,0.223205488,0,0.08847,ppb,0,ppb,58.68,ng/g,0.81,ng/g
7392,NLA12_AR-101,1,Y,PLNLOW,CPL,105.7849996,22845861,74.14,Region_6,MAN_MADE,AR,140.6756261,,S,S,S,52.4,ug/L,1.9,34.53654,-92.27022,37,APHA Pt-Co,1.447,mg/L,0.92,mg/L,88,ug/L,Poor,22.4,Good,62.12,0.205,0,0.89796835,0.969658129,0.327419355,1.003337449,0,0.01993,ppb,0,ppb,222.22,ng/g,1,ng/g
8021,NLA12_AR-101,2,N,PLNLOW,CPL,105.7849996,22845861,74.14,Region_6,MAN_MADE,AR,140.6756261,,S,S,S,26.76,ug/L,2.1,34.53511,-92.26932,41,APHA Pt-Co,1.467,mg/L,0.791,mg/L,80,ug/L,Poor,28.2,Fair,56.82,0.15,0,0.71538247,0.863410762,0.356097561,1.001562677,0,0.08067,ppb,0,ppb,NA,NA,NA,NA
8144,NLA12_AR-102,1,Y,PLNLOW,CPL,95.89252695,9272602,69.01,Region_6,MAN_MADE,AR,170.3424876,,S,S,S,74,ug/L,1.3,35.58361,-90.96293,18,APHA Pt-Co,5.343,mg/L,1.536,mg/L,151,ug/L,Poor,29.6,Poor,39.88,0,1.277777778,0.462654048,0.499474391,0.786946036,0.517833196,0.3,1.00566,ppb,0,ppb,96.89,ng/g,0.46,ng/g
8217,NLA12_AR-103,1,Y,EHIGH,SAP,2428.921192,167794922,118.4,Region_6,MAN_MADE,AR,20.64042006,,T,T,T,4.944,ug/L,13.4,34.4348,-93.09425,5,APHA Pt-Co,1.835,mg/L,0.311,mg/L,15,ug/L,Fair,47.6,Fair,61.7,0.2375,0,0.911777821,1.955244745,0.851960784,1.785432989,0,0.238,ppb,0,ppb,55.79,ng/g,0.28,ng/g
7812,NLA12_AR-104,1,Y,EHIGH,SAP,44.682124,7764393,203.73,Region_6,MAN_MADE,AR,174.9925497,R,R,B,R,6.624,ug/L,9.1,35.56169,-93.63668,16,APHA Pt-Co,1.4,mg/L,0.175,mg/L,30,ug/L,Poor,35.4,Good,73.98,0.045,0,0.84872567,0.981604328,0.286842105,0.861089008,0,0.04275,ppb,0,ppb,59.43,ng/g,1.2,ng/g
7409,NLA12_AR-105,1,Y,PLNLOW,CPL,7.29500254,15219066,55.37,Region_6,MAN_MADE,AR,549.2845394,R,R,R,R,6.496,ug/L,2.3,33.0754,-92.66022,32,APHA Pt-Co,10.853,mg/L,0.476,mg/L,34,ug/L,Fair,42.9,Good,61.37,0,0,0.236501464,0.658222305,0.472222222,1.140123178,0,0,ppb,0.06,ppb,191.18,ng/g,1.1,ng/g
8022,NLA12_AR-105,2,N,PLNLOW,CPL,7.29500254,15219066,55.37,Region_6,MAN_MADE,AR,549.2845394,,R,R,R,12.42666667,ug/L,2.6,33.07517,-92.66055,35,APHA Pt-Co,11.173,mg/L,0.599,mg/L,39,ug/L,Poor,32.6,Good,59.98,0.055,0,0.344743065,0.818070601,0.32972973,1.352431768,0,0.0929,ppb,0,ppb,NA,NA,NA,NA
8121,NLA12_AR-106,1,Y,EHIGH,SAP,222.5927542,7548451,82.69,Region_6,MAN_MADE,AR,154.1650994,,S,S,S,59.2,ug/L,5.4,36.07315,-91.14627,20,APHA Pt-Co,3.588,mg/L,1.385,mg/L,107,ug/L,Poor,25,Fair,63.78,0.17,0,0.698805649,1.649112045,0.422727273,1.483577491,0,0.07863,ppb,0,ppb,57.06,ng/g,0.52,ng/g
7811,NLA12_AR-109,1,Y,PLNLOW,CPL,4.149225261,3748090,107.3,Region_6,MAN_MADE,AR,549.2845394,,S,S,S,10.32,ug/L,7.8,33.81787,-94.06009,20,APHA Pt-Co,7.534,mg/L,0.656,mg/L,39,ug/L,Good,60.3,Good,58.42,0.02,0,1.029472097,0.895578946,0.926470588,0.708652578,0,0.05948,ppb,0,ppb,62.5,ng/g,0.67,ng/g
8145,NLA12_AR-111,1,Y,PLNLOW,CPL,2.061803018,22845785,120,Region_6,MAN_MADE,AR,2762,,T,T,T,23.89333333,ug/L,1.2,34.60031,-92.50045,38,APHA Pt-Co,2.438,mg/L,0.744,mg/L,121,ug/L,Poor,39.8,Poor,28.98,0.13,0,0.553688091,0.798414021,0.857142857,1.163603037,0,0.09345,ppb,0,ppb,132.89,ng/g,0.43,ng/g
