UID,SITE_ID,VISIT_NO,DATE_COL,AGGR_ECO3_2015,AGGR_ECO9_2015,STATE,ECO_BIO,LAB,d18O_H2O,dD_H2O,E_I,RT,PUBLICATION_DATE
2007468,NLA06608-0001,1,7/31/2007,WMTNS,WMT,MT,WMTNS,ISIRF,-15.73,-120.24,0.103,0.77,8/13/2018
2007469,NLA06608-0002,1,6/14/2007,PLNLOW,CPL,SC,CPL,ISIRF,1.24,2.32,0.366,0.26,8/13/2018
2007470,NLA06608-0002,2,7/23/2007,PLNLOW,CPL,SC,CPL,ISIRF,2.47,5.7,0.467,0.33,8/13/2018
2007471,NLA06608-0003,1,8/29/2007,PLNLOW,CPL,TX,CPL,ISIRF,-0.01,-4.84,0.204,0.17,8/13/2018
2007472,NLA06608-0003,2,9/6/2007,PLNLOW,CPL,TX,CPL,ISIRF,-0.66,-4.7,0.181,0.15,8/13/2018
2007473,NLA06608-0004,1,7/10/2007,WMTNS,WMT,CO,WMTNS,ISIRF,-7.01,-61.77,0.285,1.05,8/13/2018
2007474,NLA06608-0004,2,9/11/2007,WMTNS,WMT,CO,WMTNS,ISIRF,-5.82,-53.7,0.376,1.38,8/13/2018
2007475,NLA06608-0005,1,7/18/2007,WMTNS,WMT,ID,WMTNS,ISIRF,-16.45,-128.54,0.082,0.48,8/13/2018
2007476,NLA06608-0005,2,8/22/2007,WMTNS,WMT,ID,WMTNS,ISIRF,-15.95,-125.55,0.11,0.64,8/13/2018
2007477,NLA06608-0006,1,7/17/2007,EHIGH,NAP,CT,EHIGH,ISIRF,-6.93,-45.54,0.002,0.16,8/13/2018
2007478,NLA06608-0006,2,8/30/2007,EHIGH,NAP,CT,EHIGH,ISIRF,-6.48,-43.12,0.027,0.38,8/13/2018
2007479,NLA06608-0007,1,7/24/2007,PLNLOW,UMW,WI,UMW,ISIRF,-3.65,-41.02,0.422,5.82,8/13/2018
2007480,NLA06608-0007,2,9/6/2007,PLNLOW,UMW,WI,UMW,ISIRF,-3.26,-38.85,0.471,6.49,8/13/2018
2007481,NLA06608-0008,1,7/12/2007,PLNLOW,TPL,IA,PLAINS,ISIRF,-2.05,-25.36,0.392,0.79,8/13/2018
